moduleId,tDiff,tSync,timeOffsetL,timeOffsetR,effectiveSpeed,pedestalL,pedestalR,energyGainL,energyGainR,lightAtt,PMTSatL,PMTSatR,PMTThresL,PMTThresR
754,-8.84569,-59.0153,63.4381,54.5925,-8.00489,16,14,16.5724,15.7968,316.117,0.0290016,0.0276444,1.20756,1.35622
755,-4.42072,-57.5923,59.8026,55.3819,-7.85133,21,18,16.6421,17.6484,283.29,0.0291237,0.0308847,1.13388,1.18196
756,-3.94043,-58.9712,60.9414,57.001,-7.98751,20,17,16.3596,15.4957,327.892,0.0286293,0.0271174,1.08503,1.2808
757,-6.77531,-58.3344,61.722,54.9467,-8.00918,15,16,16.1917,15.2352,347.256,0.0283355,0.0266616,1.13678,1.41986
758,-6.16736,-58.9343,62.018,55.8506,-7.89004,24,15,15.0891,15.8603,311.935,0.026406,0.0277555,1.04814,1.15304
759,-4.44277,-58.0405,60.2618,55.8191,-8.03402,18,14,17.8571,18.89,274.644,0.0312499,0.0330576,1.04352,0.98322
760,-7.21593,-57.7767,61.3847,54.1687,-7.95363,13,19,15.8144,16.345,329.343,0.0276751,0.0286038,0.841735,0.896205
761,-5.57749,-59.2366,62.0253,56.4478,-8.03861,17,21,16.2867,15.3177,334.662,0.0285017,0.026806,1.04638,1.07977
762,-5.43891,-58.0222,60.7416,55.3027,-8.05452,19,14,16.1478,17.5229,308.722,0.0282586,0.030665,0.95063,1.08064
763,-6.48231,-60.0297,63.2708,56.7885,-8.08954,11,15,16.8071,15.4613,346.822,0.0294125,0.0270573,1.27218,1.19577
764,-4.42322,-58.3119,60.5235,56.1003,-7.96115,18,16,16.0256,14.038,321.477,0.0280448,0.0245665,1.15656,1.42331
765,-5.41984,-59.6576,62.3675,56.9476,-8.02584,15,18,15.7882,14.3856,372.561,0.0276293,0.0251748,1.0691,1.1041
766,-6.5159,-59.4142,62.6721,56.1562,-8.00912,18,17,16.7489,16.9921,312.535,0.0293105,0.0297361,1.06787,0.957799
767,-5.11282,-59.6167,62.1731,57.0603,-7.92406,16,23,16.0128,16.7353,299.801,0.0280224,0.0292869,1.20974,0.884248
768,-2.83123,-59.8019,61.2175,58.3863,-8.09594,17,16,14.4931,14.9316,351.86,0.025363,0.0261303,1.28755,1.29518
769,-9.30196,-60.5761,65.2271,55.9251,-7.94832,18,23,15.6917,14.9264,326.707,0.0274605,0.0261213,1.04592,1.11366
770,-8.49484,-60.8491,65.0966,56.6017,-8.00671,19,16,14.3498,15.3556,350.438,0.0251122,0.0268723,1.13427,1.03334
771,-9.03153,-60.7744,65.2902,56.2587,-8.06541,19,13,13.6601,14.7192,398.084,0.0239051,0.0257586,1.23528,1.48652
772,-5.83469,-60.5876,63.505,57.6703,-8.07884,15,17,15.5707,15.3153,345.284,0.0272487,0.0268018,1.35017,1.32881
773,-7.86961,-60.3175,64.2523,56.3827,-8.07831,14,16,15.1974,15.2249,363.917,0.0265954,0.0266436,1.1965,1.0918
774,-8.46347,-61.0443,65.276,56.8126,-8.01042,17,17,17.161,17.4088,283.634,0.0300317,0.0304654,1.15277,1.16477
775,-6.66794,-59.5919,62.9258,56.2579,-7.99665,16,17,15.0159,16.2344,311.214,0.0262777,0.0284103,1.30956,1.25979
776,-8.55236,-59.9125,64.1887,55.6363,-8.05482,15,15,15.6032,14.4593,353.087,0.0273056,0.0253038,1.16618,1.14052
